iter	RMSE
0	1.001245518
1	1.000557644
2	0.9997976059
3	0.9988456293
4	0.9979902882
5	0.9966598802
6	0.9957774865
7	0.9950086086
8	0.9943075304
9	0.9934847313
10	0.9929001858
11	0.9921740731
12	0.9917690452
13	0.9916014894
14	0.9907395194
15	0.9899338641
16	0.9890760356
17	0.9884963974
18	0.9878998025
19	0.987195256
20	0.986555599
21	0.9859680378
22	0.985193427
23	0.9847242796
24	0.984686978
25	0.9844994681
26	0.9839682038
27	0.983313757
28	0.9826496902
29	0.9822786587
30	0.9821433665
31	0.9815126393
32	0.9806849753
33	0.980315246
34	0.9797687868
35	0.9793205158
36	0.978781887
37	0.978324964
38	0.9779326954
39	0.9774426608
40	0.9768128525
41	0.9765228218
42	0.9759556687
43	0.9755428032
44	0.9751493393
45	0.9746167888
46	0.9742391527
47	0.9738074439
48	0.9733167823
49	0.9730538397
50	0.9725564589
51	0.972208966
52	0.9717048462
53	0.9714639854
54	0.9711210734
55	0.970596912
56	0.9700039725
57	0.9695966549
58	0.9690661502
59	0.9686559077
60	0.9683373151
61	0.9683123464
62	0.9677827111
63	0.9670897768
64	0.9670353191
65	0.966266171
66	0.9660031932
67	0.9655052191
68	0.9651836626
69	0.9650785314
70	0.9643950148
71	0.96411789
72	0.9635144491
73	0.9631669331
74	0.9630149566
75	0.9625385878
76	0.9621199647
77	0.9615900085
78	0.961256981
79	0.9612197734
80	0.9608434043
81	0.9604798029
82	0.9604415598
83	0.9601642996
84	0.9599232127
85	0.9595471092
86	0.9590506622
87	0.9587525079
88	0.9583760612
89	0.9578614431
90	0.9576249346
91	0.9571253564
92	0.9566986581
93	0.9563874605
94	0.9558325283
95	0.9554529098
96	0.9550200587
97	0.9546456416
98	0.9542252684
99	0.9542040951
100	0.9538725382
101	0.9534012621
102	0.9531775572
103	0.952886101
104	0.9525723322
105	0.9522919229
106	0.951927084
107	0.9515915724
108	0.9510331388
109	0.9506671526
110	0.950499072
111	0.9500530964
112	0.9496938109
113	0.9493014092
114	0.9489242269
115	0.948628097
116	0.9484069863
117	0.9478760634
118	0.9473905927
119	0.9469797844
120	0.9464001855
121	0.945974146
122	0.9456555703
123	0.9453350801
124	0.9451150067
125	0.9445039863
126	0.9442633849
127	0.9439970709
128	0.9436496877
129	0.9434023334
130	0.9430940338
131	0.9428564602
132	0.9426040514
133	0.9420897273
134	0.941792868
135	0.941388612
136	0.941272774
137	0.9409885238
138	0.9407490367
139	0.9407287049
140	0.940310681
141	0.9398379787
142	0.9396668149
143	0.9392944625
144	0.9388795579
145	0.938555448
146	0.9381860194
147	0.9379319578
148	0.9376729159
149	0.9373856724
150	0.9371951978
151	0.9368223784
152	0.9365212717
153	0.9363615992
154	0.9360889506
155	0.9359298392
156	0.9354423772
157	0.935410416
158	0.9350642913
159	0.9347379447
160	0.9345038505
161	0.9342050577
162	0.9339157136
163	0.9338708945
164	0.933620472
165	0.9332538256
166	0.9331852151
167	0.9327323149
168	0.9324884371
169	0.9320793487
170	0.9320148758
171	0.9316799269
172	0.9313671887
173	0.9310178456
174	0.930652249
175	0.9302763683
176	0.9299224218
177	0.9296986201
178	0.929249696
179	0.9290184164
180	0.9285820823
181	0.9285673236
182	0.928307709
183	0.9282372925
184	0.9279597355
185	0.9277417854
186	0.9276831363
187	0.9274901085
188	0.9270374708
189	0.926750217
190	0.9264546561
191	0.9262864723
192	0.9260199214
193	0.9258665006
194	0.9256479373
195	0.9252931034
196	0.9249076965
197	0.9246184957
198	0.9243316955
199	0.9241345517
200	0.9240706095
201	0.9237163759
202	0.9234993146
203	0.9231219295
204	0.9230217448
205	0.9228623122
206	0.9225544754
207	0.9223157989
208	0.9221084369
209	0.9217110607
210	0.9216540426
211	0.9214401634
212	0.9213633772
213	0.9210368535
214	0.9207724535
215	0.9207213877
216	0.9204410397
217	0.9202071426
218	0.9200792328
219	0.9198678943
220	0.9196519439
221	0.9193759962
222	0.9189311228
223	0.918674364
224	0.9185064133
225	0.9181351875
226	0.9177575796
227	0.9176972401
228	0.9175249818
229	0.9170894969
230	0.9168798592
231	0.9166542507
232	0.916420765
233	0.9161828419
234	0.9160871688
235	0.9158248274
236	0.915414459
237	0.9151059431
238	0.9150777361
239	0.9149884013
240	0.914787011
241	0.9144787707
242	0.9142017897
243	0.9140118473
244	0.9138096321
245	0.9136152992
246	0.9131788852
247	0.9128760011
248	0.9127684259
249	0.9127304623
250	0.9126501354
251	0.9123929116
252	0.9123324209
253	0.9120571906
254	0.9119115618
255	0.9116661474
256	0.9113703812
257	0.9111130814
258	0.9108029862
259	0.9104916431
260	0.9101669728
261	0.9099237002
262	0.9097605025
263	0.9095280647
264	0.9093780693
265	0.909159423
266	0.9088887483
267	0.908654616
268	0.9083600362
269	0.9081214326
270	0.9078922568
271	0.9076904377
272	0.9073499069
273	0.907069234
274	0.9069064236
275	0.906791669
276	0.9066209026
277	0.9063229981
278	0.9061794807
279	0.9059454272
280	0.9057789295
281	0.9056410672
282	0.905391697
283	0.9051548959
284	0.9051148075
285	0.9049920284
286	0.9049282522
287	0.9046608274
288	0.9046179253
289	0.9042959514
290	0.9040563984
291	0.9039009342
292	0.9037194709
293	0.9034176498
294	0.9031274069
295	0.9028368239
296	0.9026667493
297	0.9025479168
298	0.9022971978
299	0.9021090717
300	0.9019832482
301	0.9014876886
302	0.9012105063
303	0.9009361243
304	0.9007161297
305	0.90044931
306	0.9001751085
307	0.8999212524
308	0.8996450323
309	0.8994094848
310	0.8992969121
311	0.8989918711
312	0.8987744172
